state_id,Thefts Last Week,Thefts Last 30 Days,Thefts Previous 30 Days,Theft Last Six Months,Robbery Last Week,Robbery Last 30 Days,Robbery Last Six Months,Burglary Last Week,Burglary Last 30 Days,Burglary Previous 30 Days,Burglary Last Six Months,Vandalism Last Week,Vandalism Last 30 Days,Vandalism Previous 30 Days,Vandalism Last Six Months,Shooting Last Week,Shooting Last 30 Days,Shooting Previous 30 Days,Shooting Last Six Months,Arson Last Week,Arson Last 30 Days,Arson Previous 30 Days,Arson Last Six Months,Arrest Last Week,Arrest Last 30 Days,Arrest Previous 30 Days,Arrest Last Six Months,Assault Last Week,Assault Last 30 Days,Assault Previous 30 Days,Assault Last Six Months,Other Last Week,Other Last 30 Days,Other Previous 30 Days,Other Last Six Months
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0
AK,1,1,2,7,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,1,0,0,0,0,3,11,18,71,0,4,4,21,0,2,3,28
AZ
AZ,14,61,74,528,1,1,3,13,6,42,42,273,1,15,9,87,1,2,3,26,1,1,0,2,2,17,46,308,10,55,91,527,26,163,220,1094
AZ,0,3,8,49,0,0,0,0,0,3,1,10,0,4,5,30,0,0,0,1,0,0,0,0,0,1,0,1,0,1,6,23,0,2,0,16
AZ,1,11,10,73,0,1,0,3,0,6,5,32,0,1,5,13,0,4,2,24,0,0,1,2,1,7,5,28,5,18,25,130,5,20,16,98
AZ,0,3,5,25,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,5,0,0,0,0,0,1,1,4,0,1,1,8,0,3,2,11
AZ,1,9,11,334,0,0,0,4,0,1,18,71,0,4,10,139,0,0,4,98,0,2,0,3,0,7,18,94,2,11,27,265,0,2,9,2441
AZ,67,465,633,3673,8,26,22,143,8,101,124,650,8,72,74,457,3,17,43,264,0,2,1,10,99,581,673,3739,104,652,642,3877,377,2319,2569,14770
AZ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
AZ,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
AZ
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
AZ,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AZ,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
AZ,0,15,20,73,0,0,0,0,0,1,0,6,0,11,9,57,0,0,0,0,0,0,0,1,0,2,0,9,0,5,9,68,0,34,32,198
AZ,1,10,5,41,0,0,0,0,0,0,1,4,0,2,3,15,0,0,0,0,0,0,0,0,0,2,0,6,0,3,15,40,1,5,5,20
AZ
AZ,4,254,307,1796,0,11,11,94,0,22,26,154,2,59,90,488,0,9,11,76,0,0,0,3,0,44,43,301,6,251,351,1841,7,641,783,4485
AZ,134,766,552,4473,3,35,27,223,84,486,352,2676,26,152,122,849,8,106,88,779,1,2,1,7,44,293,186,1630,216,1325,928,7494,448,2518,1852,13765
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
AZ,1,11,9,55,0,0,0,0,1,1,1,13,0,2,3,11,0,2,1,19,0,0,0,0,0,3,4,21,3,7,14,68,4,11,11,51
AZ
AZ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ
AZ,2,29,39,213,0,0,0,1,0,0,3,11,0,0,0,2,0,0,0,0,0,0,0,0,18,145,215,1119,5,33,32,185,5,38,56,213
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7
AZ,54,223,200,1230,0,3,1,18,6,46,49,369,9,54,52,370,2,6,1,17,1,1,1,7,2,25,26,169,16,73,75,441,1,24,23,155
AZ,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,2,0,1,0,2
AZ,114,728,1351,7944,8,33,47,298,136,893,1058,6009,24,108,129,834,16,95,101,804,0,0,5,25,80,439,1125,6642,265,1483,1759,10656,713,3877,4197,23887
AZ
AZ
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AZ,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,2,3,0,1,5,15
AZ,13,331,451,2443,0,9,15,84,23,220,260,1375,6,66,91,552,1,15,24,109,0,0,0,9,2,61,66,423,37,238,272,1544,55,1162,1486,8155
AZ,14,149,222,1136,0,2,1,17,0,28,32,152,2,34,51,268,0,1,2,15,1,1,1,5,0,34,32,235,5,83,101,631,7,89,79,545
AZ,648,5319,6518,33525,50,367,491,2558,665,3940,4682,25093,217,1156,1099,6859,68,379,476,2991,8,68,76,375,171,1184,1472,7103,1499,8448,9208,50462,2729,15015,15674,89822
AZ,1,9,14,99,0,1,1,9,0,1,0,13,0,3,1,10,0,1,0,9,0,0,0,0,0,0,0,1,1,10,11,55,2,65,92,375
AZ,11,60,67,397,0,0,0,0,1,10,30,129,0,16,39,189,0,0,0,0,1,4,0,6,0,8,17,73,2,23,63,224,3,15,15,73
AZ
AZ,4,18,37,215,0,0,0,3,3,17,29,141,1,7,7,39,1,1,0,7,0,0,0,0,1,5,9,57,3,19,29,163,7,75,81,433
AZ
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZ,1,11,28,118,0,0,0,0,0,1,3,8,0,5,7,51,0,0,0,0,0,0,0,1,0,1,0,3,0,2,6,33,1,1,0,11
AZ,1,488,700,4009,0,5,3,40,0,96,120,740,0,82,127,797,0,14,31,151,0,0,0,0,0,98,125,776,0,170,274,1398,0,1939,2695,14647
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,0,1,1,3
AZ,0,0,2,233,0,0,0,3,0,0,0,57,0,0,0,47,0,0,0,13,0,0,0,1,0,0,0,195,0,0,4,200,0,0,5,542
AZ,3,10,4,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,26,0,1,0,4
AZ,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
AZ,43,266,285,1763,0,11,4,68,19,110,92,597,3,40,60,333,3,12,8,71,1,2,1,7,4,55,57,380,19,177,209,1290,57,333,262,1897
AZ,0,2,1,9,0,0,0,1,0,0,0,1,0,0,1,2,0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,12,0,5,2,18
AZ,0,331,641,2895,0,11,14,77,0,37,81,319,0,107,137,735,3,31,40,230,0,20,32,223,0,86,145,758,2,486,813,4129,0,3148,5502,28492
AZ,80,651,730,4033,5,31,56,279,56,337,376,2110,21,127,141,776,3,47,53,421,0,10,9,40,21,119,148,728,141,839,875,5099,251,1391,1485,8568
AZ,143,1111,1085,6715,10,75,94,570,37,218,239,1443,19,120,125,686,26,232,262,1672,0,0,0,0,16,111,125,689,191,1337,1384,7787,1149,7982,9228,51946
AZ,0,7,14,48,0,0,0,0,0,0,1,4,0,3,1,18,0,0,3,3,0,0,0,0,0,1,1,7,0,3,7,35,0,53,118,476
AZ
AZ,0,8,37,169,0,0,1,4,1,1,3,19,0,0,1,3,0,1,2,10,0,0,2,5,0,9,19,142,0,6,12,83,0,4,7,48
AR
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AR,0,0,0,276,0,0,0,1,0,0,0,70,0,0,0,37,0,0,0,13,0,0,0,0,0,0,0,725,0,0,1,190,0,0,1,1310
AR
AR
AR
AR
AR,32,159,170,982,1,2,1,9,9,59,64,357,11,45,53,274,0,16,16,134,1,1,0,3,8,61,88,462,32,183,170,932,241,944,835,4943
AR,5,41,11,302,0,1,0,6,2,8,2,28,5,21,7,174,0,1,0,3,0,0,0,1,3,22,14,235,3,29,11,214,6,22,14,154
AR
AR
AR,33,129,133,757,1,2,2,16,18,81,81,435,7,43,46,202,6,26,31,156,0,0,0,0,20,88,64,413,36,165,167,894,206,911,887,5156
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AR
AR
AR,0,0,37,405,0,0,1,9,0,0,8,63,0,0,23,246,0,1,0,57,0,0,0,1,0,0,39,385,0,0,49,439,0,0,196,2015
AR
AR,5,58,18,457,0,1,0,6,0,10,2,50,2,19,8,240,0,1,2,9,0,0,0,1,3,26,19,340,4,46,12,310,1,11,4,130
AR
AR,2,483,688,4112,1,23,23,180,0,99,112,893,0,0,0,0,1,1,4,17,0,0,0,0,0,0,1,2,3,131,182,953,0,0,0,1
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AR
AR
AR
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
AR
AR
AR,0,147,239,1387,0,14,15,84,0,49,38,414,0,1,1,9,1,1,1,9,0,0,0,0,0,0,0,22,0,58,74,410,0,0,0,29
AR
AR
AR
