Name,City,State,Zip,County,IsPrivate,Level,LowGrade,HighGrade,RankStars,PupilTeacherRatio
Central Middle School of Science,Anchorage,AK,99501,Anchorage Municipality,False,Middle,7,8,1,17.3
Chinook Elementary,Anchorage,AK,99502,Anchorage Municipality,False,Elementary,PK,6,1,18.2
Family Partnership Charter School,Anchorage,AK,99503,Anchorage Municipality,False,Alternative,K,12,n/a,87.0
Alaska State School for Deaf and Hard of Hearing,Anchorage,AK,99504,Anchorage Municipality,False,Alternative,PK,12,n/a,15.0
Ursa Major Elementary,Elmendorf Afb,AK,99505,Anchorage Municipality,False,,,,n/a,14.8
Aurora Elementary,Elmendorf Afb,AK,99506,Anchorage Municipality,False,Elementary,PK,6,4,18.0
Abbott Loop Elementary,Anchorage,AK,99507,Anchorage Municipality,False,Elementary,PK,6,1,15.3
Airport Heights Elementary,Anchorage,AK,99508,Anchorage Municipality,False,Elementary,PK,6,1,12.4
Bayshore Elementary,Anchorage,AK,99515,Anchorage Municipality,False,Elementary,PK,6,5,19.3
Bear Valley Elementary,Anchorage,AK,99516,Anchorage Municipality,False,Elementary,PK,6,5,19.4
Anchorage Montessori School,Anchorage,AK,99517,Anchorage Municipality,True,Private,PK,5,n/a,17.0
Anchor Lutheran School,Anchorage,AK,99518,Anchorage Municipality,True,Private,K,8,n/a,11.5
Adak School,Adak,AK,99546,Aleutians West Census Area,False,Alternative,K,12,n/a,2.5
Yakov E. Netsvetov School,Atka,AK,99547,Aleutians West Census Area,False,Alternative,K,12,n/a,5.5
Chignik Lake School,Chignik Lake,AK,99548,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,5.6
Meshik School,Port Heiden,AK,99549,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,7.0
Port Lions School,Port Lions,AK,99550,Kodiak Island Borough,False,Alternative,K,12,n/a,5.6
Akiachak School,Akiachak,AK,99551,Bethel Census Area,False,Alternative,K,12,n/a,14.9
Akiak School,Akiak,AK,99552,Bethel Census Area,False,Alternative,K,12,n/a,13.3
Akutan School,Akutan,AK,99553,Aleutians East Borough,False,Alternative,PK,12,n/a,10.0
Alakanuk School,Alakanuk,AK,99554,Kusilvak Census Area,False,Alternative,PK,12,n/a,13.8
Aleknagik School,Aleknagik,AK,99555,Dillingham Census Area,False,Alternative,PK,12,n/a,9.2
Chapman School,Anchor Point,AK,99556,Kenai Peninsula Borough,False,Elementary,PK,8,2,11.1
Aniak Junior/Senior High School,Aniak,AK,99557,Bethel Census Area,False,High,6,12,n/a,18.3
Blackwell School,Anvik,AK,99558,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,4.0
Ayagina'ar Elitnaurvik,Bethel,AK,99559,Bethel Census Area,False,Alternative,PK,12,n/a,20.4
Chaputnguak School,Chefornak,AK,99561,Bethel Census Area,False,Alternative,PK,12,n/a,18.2
Chevak School,Chevak,AK,99563,Kusilvak Census Area,False,Alternative,PK,12,n/a,16.1
Chignik Bay School,Chignik,AK,99564,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,Unknown
Chignik Lagoon School,Chignik Lagoon,AK,99565,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,8.1
Birchwood ABC Elementary,Eagle River,AK,99567,Anchorage Municipality,False,Elementary,PK,6,5,13.1
Clarks Point School,Clarks Point,AK,99569,Dillingham Census Area,False,Alternative,K,12,n/a,5.7
Cooper Landing School,Cooper Landing,AK,99572,Kenai Peninsula Borough,False,Alternative,K,12,n/a,16.0
Kenny Lake School,Copper Center,AK,99573,Copper River Census Area,False,Alternative,PK,12,n/a,9.6
Chenega School,Chenega Bay,AK,99574,Chugach Census Area,False,Alternative,PK,12,n/a,7.0
Johnnie John Senior School,Crooked Creek,AK,99575,Bethel Census Area,False,Alternative,PK,12,n/a,4.4
Dillingham Adventist School,Dillingham,AK,99576,Dillingham Census Area,True,Private,PK,7,n/a,2.4
Alpenglow Elementary,Eagle River,AK,99577,Anchorage Municipality,False,Elementary,PK,6,4,17.4
Eek School,Eek,AK,99578,Bethel Census Area,False,Alternative,PK,12,n/a,16.2
William Sonny Nelson School,Ekwok,AK,99580,Dillingham Census Area,False,Alternative,PK,12,n/a,8.0
Emmonak School,Emmonak,AK,99581,Kusilvak Census Area,False,Alternative,PK,12,n/a,14.8
False Pass School,False Pass,AK,99583,Aleutians East Borough,False,Alternative,PK,12,n/a,9.0
Marshall School,Marshall,AK,99585,Kusilvak Census Area,False,Alternative,PK,12,n/a,15.4
Slana School,Slana,AK,99586,Copper River Census Area,False,Alternative,PK,12,n/a,15.0
Girdwood School,Girdwood,AK,99587,Anchorage Municipality,False,Elementary,PK,8,4,12.4
Glennallen Elementary,Glennallen,AK,99588,Copper River Census Area,False,Elementary,PK,6,2,13.3
Rocky Mountain School,Goodnews Bay,AK,99589,Bethel Census Area,False,Alternative,PK,12,n/a,19.5
David Louis Memorial School,Grayling,AK,99590,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,12.0
Pribilof Correspondence School,Saint George Island,AK,99591,Aleutians West Census Area,False,Alternative,K,12,n/a,50.0
Jeffery A. Bader Memorial School,Holy Cross,AK,99602,Yukon-Koyukuk Census Area,False,Alternative,K,12,n/a,25.0
Fireweed Academy,Homer,AK,99603,Kenai Peninsula Borough,False,Elementary,K,6,4,14.2
Hooper Bay Charter School,Hooper Bay,AK,99604,Kusilvak Census Area,False,Middle,4,8,n/a,47.0
Hope School,Hope,AK,99605,Kenai Peninsula Borough,False,Alternative,PK,12,n/a,9.6
Kokhanok School,Kokhanok,AK,99606,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,5.6
George Morgan Senior High School,Kalskag,AK,99607,Bethel Census Area,False,High,6,12,n/a,15.2
Akiuk Memorial School,Kasigluk,AK,99609,Bethel Census Area,False,Alternative,PK,12,n/a,14.3
Tustumena Elementary,Kasilof,AK,99610,Kenai Peninsula Borough,False,Elementary,PK,6,3,13.3
Aurora Borealis Charter School,Kenai,AK,99611,Kenai Peninsula Borough,False,Elementary,K,8,5,15.5
King Cove School,King Cove,AK,99612,Aleutians East Borough,False,Alternative,PK,12,n/a,7.0
Bristol Bay Christian Learning Center,King Salmon,AK,99613,Bristol Bay Borough,True,Private,K,K,n/a,5.7
Chief Paul Memorial School,Kipnuk,AK,99614,Bethel Census Area,False,Alternative,PK,12,n/a,17.4
Akhiok School,Akhiok,AK,99615,Kodiak Island Borough,False,Alternative,K,12,n/a,5.9
Kotlik School,Kotlik,AK,99620,Kusilvak Census Area,False,Alternative,PK,12,n/a,15.4
Ket'acik/Aapalluk Memorial School,Kwethluk,AK,99621,Bethel Census Area,False,Alternative,PK,12,n/a,18.7
Kwigillingok School,Kwigillingok,AK,99622,Bethel Census Area,False,Alternative,PK,12,n/a,32.2
Dena'ina Elementary School,Wasilla,AK,99623,Matanuska-Susitna Borough,False,Elementary,PK,5,2,17.4
Levelock School,Levelock,AK,99625,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,6.8
Zackar Levi Elementary,Lower Kalskag,AK,99626,Bethel Census Area,False,Elementary,3,5,n/a,8.7
McGrath School,Mc Grath,AK,99627,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,8.0
Manokotak School,Manokotak,AK,99628,Dillingham Census Area,False,Alternative,PK,12,n/a,11.7
Nuniwarmiut School,Mekoryuk,AK,99630,Bethel Census Area,False,Alternative,PK,12,n/a,21.5
Moose Pass School,Moose Pass,AK,99631,Kenai Peninsula Borough,False,Elementary,K,8,n/a,18.0
Mountain Village School,Mountain Village,AK,99632,Kusilvak Census Area,False,Alternative,PK,12,n/a,13.0
Bristol Bay Correspondence,Naknek,AK,99633,Bristol Bay Borough,False,Alternative,K,12,n/a,6.0
William Miller Memorial School,Napakiak,AK,99634,Bethel Census Area,False,Alternative,PK,12,n/a,17.2
Chief Ivan Blunka School,New Stuyahok,AK,99636,Dillingham Census Area,False,Alternative,PK,12,n/a,10.7
Nelson Island Area School,Toksook Bay,AK,99637,Bethel Census Area,False,Alternative,PK,12,n/a,14.0
Ninilchik School,Ninilchik,AK,99639,Kenai Peninsula Borough,False,Alternative,PK,12,n/a,13.9
Nondalton School,Nondalton,AK,99640,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,4.5
Anna Tobeluk Memorial School,Nunapitchuk,AK,99641,Bethel Census Area,False,Alternative,PK,12,n/a,13.9
Old Harbor School,Old Harbor,AK,99643,Kodiak Island Borough,False,Alternative,K,12,n/a,6.9
Ouzinkie School,Ouzinkie,AK,99644,Kodiak Island Borough,False,Alternative,K,12,n/a,10.8
Academy Charter School,Palmer,AK,99645,Matanuska-Susitna Borough,False,Elementary,K,8,4,14.2
Perryville School,Perryville,AK,99648,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,6.7
Pilot Point School,Pilot Point,AK,99649,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,Unknown
Pilot Station School,Pilot Station,AK,99650,Kusilvak Census Area,False,Alternative,PK,12,n/a,20.8
Arviq School,Platinum,AK,99651,Bethel Census Area,False,Alternative,K,12,n/a,6.0
Beryozova School,Palmer,AK,99652,Matanuska-Susitna Borough,False,Alternative,K,12,n/a,11.5
Tanalian School,Port Alsworth,AK,99653,Lake and Peninsula Borough,False,Alternative,PK,12,n/a,7.6
American Charter Academy,Wasilla,AK,99654,Matanuska-Susitna Borough,False,Alternative,K,12,n/a,17.0
Kuinerrarmiut Elitnaurviat,Quinhagak,AK,99655,Bethel Census Area,False,Alternative,PK,12,n/a,14.4
Russian Mission School,Russian Mission,AK,99657,Kusilvak Census Area,False,Alternative,PK,12,n/a,13.5
Saint Mary's School,Saint Marys,AK,99658,Kusilvak Census Area,False,Alternative,PK,12,n/a,22.6
Anthony A. Andrews School,Saint Michael,AK,99659,Nome Census Area,False,Alternative,PK,12,n/a,9.0
St Paul School,Saint Paul Island,AK,99660,Aleutians West Census Area,False,Alternative,PK,12,n/a,13.8
Sand Point School,Sand Point,AK,99661,Aleutians East Borough,False,Alternative,PK,12,n/a,8.9
Scammon Bay School,Scammon Bay,AK,99662,Kusilvak Census Area,False,Alternative,PK,12,n/a,15.8
Susan B English School,Seldovia,AK,99663,Kenai Peninsula Borough,False,Alternative,PK,12,n/a,12.8
Seward High School,Seward,AK,99664,Kenai Peninsula Borough,False,High,9,12,2,14.2
Innoko River School,Shageluk,AK,99665,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,11.5
Nunam Iqua School,Nunam Iqua,AK,99666,Kusilvak Census Area,False,Alternative,PK,12,n/a,13.0
Jack Egnaty Senior School,Sleetmute,AK,99668,Bethel Census Area,False,Alternative,PK,12,n/a,7.0
Connections,Soldotna,AK,99669,Kenai Peninsula Borough,False,Alternative,K,12,n/a,61.3
Tukurngailnguq School,Stebbins,AK,99671,Nome Census Area,False,Alternative,PK,12,n/a,15.4
Sterling Elementary,Sterling,AK,99672,Kenai Peninsula Borough,False,Elementary,PK,6,1,11.5
Glacier View School,Sutton,AK,99674,Matanuska-Susitna Borough,False,Alternative,K,12,n/a,6.8
Takotna Community School,Takotna,AK,99675,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,5.5
Susitna Valley High,Talkeetna,AK,99676,Matanuska-Susitna Borough,False,High,6,12,1,14.4
Tatitlek Community School,Tatitlek,AK,99677,Chugach Census Area,False,Alternative,PK,12,n/a,5.5
Togiak School,Togiak,AK,99678,Dillingham Census Area,False,Alternative,PK,12,n/a,11.8
Tuluksak School,Tuluksak,AK,99679,Bethel Census Area,False,Alternative,K,12,n/a,11.8
Lewis Angapak Memorial School,Tuntutuliak,AK,99680,Bethel Census Area,False,Alternative,PK,12,n/a,18.8
Paul T. Albert Memorial School,Tununak,AK,99681,Bethel Census Area,False,Alternative,PK,12,n/a,17.0
Tebughna School,Tyonek,AK,99682,Kenai Peninsula Borough,False,Alternative,PK,12,n/a,9.3
Trapper Creek Elementary,Trapper Creek,AK,99683,Matanuska-Susitna Borough,False,Elementary,PK,5,n/a,22.0
Unalakleet School,Unalakleet,AK,99684,Nome Census Area,False,Alternative,PK,12,n/a,10.0
Eagle's View Elementary School,Unalaska,AK,99685,Aleutians West Census Area,False,Elementary,PK,6,3,13.0
George H. Gilson Middle School,Valdez,AK,99686,Chugach Census Area,False,Middle,6,8,2,16.7
Goose Bay Elementary,Wasilla,AK,99687,Matanuska-Susitna Borough,False,Elementary,PK,2,n/a,16.8
Willow Elementary,Willow,AK,99688,Matanuska-Susitna Borough,False,Elementary,PK,5,4,13.5
LEAD Correspondence,Yakutat,AK,99689,Yakutat City and Borough,False,Alternative,K,12,n/a,172.7
Negtemiut Elitnaurviat School,Nightmute,AK,99690,Bethel Census Area,False,Alternative,PK,12,n/a,33.0
Top of the Kuskokwim School,Nikolai,AK,99691,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,7.0
Whittier Community School,Whittier,AK,99693,Chugach Census Area,False,Alternative,PK,12,n/a,9.7
Houston Middle School,Big Lake,AK,99694,Matanuska-Susitna Borough,False,Middle,6,8,0,17.4
Alternative Learning Systems,Fairbanks,AK,99701,Fairbanks North Star Borough,False,Alternative,PK,12,n/a,13.6
Anderson Elementary,Eielson AFB,AK,99702,Fairbanks North Star Borough,False,Elementary,PK,2,n/a,19.7
Arctic Light Elementary,Fort Wainwright,AK,99703,Fairbanks North Star Borough,False,Elementary,PK,5,2,21.2
Discovery Peak Charter School,North Pole,AK,99705,Fairbanks North Star Borough,False,Elementary,K,8,2,17.6
Effie Kokrine Charter School,Fairbanks,AK,99709,Fairbanks North Star Borough,False,High,7,12,0,16.6
Fairhill Christian School,Fairbanks,AK,99712,Fairbanks North Star Borough,True,Private,PK,8,n/a,16.5
Salcha Elementary,Fairbanks,AK,99714,Fairbanks North Star Borough,False,Elementary,PK,5,3,13.2
Allakaket School,Allakaket,AK,99720,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,4.8
Nunamiut School,Anaktuvuk Pass,AK,99721,North Slope Borough,False,Alternative,PK,12,n/a,24.0
Arctic Village School,Arctic Village,AK,99722,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,7.7
Barrow High School,Barrow,AK,99723,North Slope Borough,False,High,9,12,n/a,15.3
Cruikshank School,Beaver,AK,99724,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,5.0
Buckland School,Buckland,AK,99727,Northwest Arctic Borough,False,Alternative,PK,12,n/a,19.0
Cantwell School,Cantwell,AK,99729,Denali Borough,False,Alternative,PK,12,n/a,4.2
Circle School,Circle,AK,99733,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,8.5
Deering School,Deering,AK,99736,Northwest Arctic Borough,False,Alternative,PK,12,n/a,13.5
Alaska Homeschool,Delta Junction,AK,99737,Southeast Fairbanks Census Area,False,Alternative,PK,12,n/a,218.0
Eagle Community School,Eagle,AK,99738,Southeast Fairbanks Census Area,False,Alternative,PK,12,n/a,7.9
Aniguiin School,Elim,AK,99739,Nome Census Area,False,Alternative,PK,12,n/a,9.5
Fort Yukon School,Fort Yukon,AK,99740,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,8.4
Galena Interior Learning Academy (GILA),Galena,AK,99741,Yukon-Koyukuk Census Area,False,High,9,12,n/a,14.5
Gambell School,Gambell,AK,99742,Nome Census Area,False,Alternative,PK,12,n/a,11.0
Denali PEAK,Healy,AK,99743,Denali Borough,False,Alternative,PK,12,n/a,118.1
Anderson School,Anderson,AK,99744,Denali Borough,False,Alternative,PK,12,n/a,5.3
Johnny Oldman School,Hughes,AK,99745,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,11.0
Jimmy Huntington School,Huslia,AK,99746,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,8.2
Harold Kaveolook School,Kaktovik,AK,99747,North Slope Borough,False,Alternative,PK,12,n/a,8.5
Kaltag School,Kaltag,AK,99748,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,7.2
Kiana School,Kiana,AK,99749,Northwest Arctic Borough,False,Alternative,PK,12,n/a,14.1
Kisimgiugtuq School,Kivalina,AK,99750,Northwest Arctic Borough,False,Alternative,PK,12,n/a,39.0
Kobuk School,Kobuk,AK,99751,Northwest Arctic Borough,False,Alternative,PK,12,n/a,7.0
June Nelson Elementary,Kotzebue,AK,99752,Northwest Arctic Borough,False,Elementary,PK,5,0,15.5
Koyuk-Malimiut School,Koyuk,AK,99753,Nome Census Area,False,Alternative,PK,12,n/a,8.3
Ella B. Vernetti School,Koyukuk,AK,99754,Yukon-Koyukuk Census Area,False,Elementary,PK,8,n/a,5.3
Minto School,Minto,AK,99758,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,11.1
Kali School,Point Lay,AK,99759,North Slope Borough,False,Alternative,PK,12,n/a,10.3
CyberLynx Correspondence Program,Nenana,AK,99760,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,155.7
Napaaqtugmiut School,Noatak,AK,99761,Northwest Arctic Borough,False,Alternative,PK,12,n/a,14.2
Anvil City Science Academy,Nome,AK,99762,Nome Census Area,False,Middle,5,8,3,13.1
Aqqaluk High/Noorvik Elementary,Noorvik,AK,99763,Northwest Arctic Borough,False,Alternative,PK,12,n/a,22.5
Walter Northway School,Northway,AK,99764,Southeast Fairbanks Census Area,False,Alternative,PK,12,n/a,11.7
Andrew K. Demoski School,Nulato,AK,99765,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,6.8
Tikigaq School,Point Hope,AK,99766,North Slope Borough,False,Alternative,PK,12,n/a,16.2
Rampart School,Rampart,AK,99767,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,6.6
Merreline A Kangas School,Ruby,AK,99768,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,5.6
Hogarth Kingeekuk Senior Memorial School,Savoonga,AK,99769,Nome Census Area,False,Alternative,PK,12,n/a,10.7
Davis-Ramoth School,Selawik,AK,99770,Northwest Arctic Borough,False,Alternative,PK,12,n/a,19.6
Shaktoolik School,Shaktoolik,AK,99771,Nome Census Area,False,Alternative,PK,12,n/a,10.2
Shishmaref School,Shishmaref,AK,99772,Nome Census Area,False,Alternative,PK,12,n/a,16.5
Shungnak School,Shungnak,AK,99773,Northwest Arctic Borough,False,Alternative,PK,12,n/a,21.0
Tanacross School,Tanacross,AK,99776,Southeast Fairbanks Census Area,False,Elementary,PK,8,n/a,8.0
Maudrey J. Sommer School,Tanana,AK,99777,Yukon-Koyukuk Census Area,False,Alternative,K,12,n/a,14.5
James C. Isabell School,Teller,AK,99778,Nome Census Area,False,Alternative,PK,12,n/a,8.7
Alaska REACH Academy,Tok,AK,99780,Southeast Fairbanks Census Area,False,Alternative,PK,12,n/a,38.8
John Fredson School,Venetie,AK,99781,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,7.6
Alak School,Wainwright,AK,99782,North Slope Borough,False,Alternative,PK,12,n/a,18.2
Wales School,Wales,AK,99783,Nome Census Area,False,Alternative,PK,12,n/a,7.4
White Mountain School,White Mountain,AK,99784,Nome Census Area,False,Alternative,PK,12,n/a,8.3
Brevig Mission School,Brevig Mission,AK,99785,Nome Census Area,False,Alternative,PK,12,n/a,12.0
Ambler School,Ambler,AK,99786,Northwest Arctic Borough,False,Alternative,PK,12,n/a,19.0
Tsuk Taih School,Chalkyitsik,AK,99788,Yukon-Koyukuk Census Area,False,Alternative,PK,12,n/a,5.6
Nuiqsut Trapper School,Nuiqsut,AK,99789,North Slope Borough,False,Alternative,PK,12,n/a,20.1
Meade River School,Atqasuk,AK,99791,North Slope Borough,False,Alternative,PK,12,n/a,12.0
Auke Bay Elementary,Juneau,AK,99801,Juneau City and Borough,False,Elementary,PK,5,3,17.8
Faith Community Christian School,Juneau,AK,99803,Juneau City and Borough,True,Private,PK,8,n/a,n/a
Angoon School,Angoon,AK,99820,Hoonah-Angoon Census Area,False,Alternative,PK,12,n/a,9.6
Juneau Montessori School,Douglas,AK,99824,Juneau City and Borough,True,Private,PK,K,n/a,3.0
Gustavus School,Gustavus,AK,99826,Hoonah-Angoon Census Area,False,Alternative,PK,12,n/a,7.7
Haines Elementary,Haines,AK,99827,Haines Borough,False,Elementary,PK,8,4,12.7
Hoonah City School,Hoonah,AK,99829,Hoonah-Angoon Census Area,False,Alternative,PK,12,n/a,10.3
Kake Elementary & High School,Kake,AK,99830,Prince of Wales-Hyder Census Area,False,Alternative,PK,12,n/a,8.6
Pelican School,Pelican,AK,99832,Hoonah-Angoon Census Area,False,Alternative,K,12,n/a,6.0
Mitkof Middle School,Petersburg,AK,99833,Petersburg Borough,False,Middle,6,8,4,12.8
Baranof Elementary,Sitka,AK,99835,Sitka City and Borough,False,Elementary,PK,1,n/a,9.8
Port Alexander School,Port Alexander,AK,99836,Prince of Wales-Hyder Census Area,False,Alternative,PK,12,n/a,5.9
Skagway School,Skagway,AK,99840,Skagway Municipality,False,Alternative,PK,12,n/a,10.8
Clover Pass Christian School,Ketchikan,AK,99901,Ketchikan Gateway Borough,True,Private,PK,3,n/a,n/a
Howard Valentine Coffman Cove School,Coffman Cove,AK,99918,Prince of Wales-Hyder Census Area,False,Alternative,PK,12,n/a,7.6
Ak-Trails Correspondence,Thorne Bay,AK,99919,Prince of Wales-Hyder Census Area,False,Alternative,PK,12,n/a,11.4
Craig Elementary,Craig,AK,99921,Prince of Wales-Hyder Census Area,False,Elementary,PK,5,3,10.8
Hydaburg School,Hydaburg,AK,99922,Prince of Wales-Hyder Census Area,False,Alternative,PK,12,n/a,10.5
Klawock City School,Klawock,AK,99925,Prince of Wales-Hyder Census Area,False,Alternative,PK,12,n/a,8.6
Charles R. Leask Senior Middle School,Metlakatla,AK,99926,Prince of Wales-Hyder Census Area,False,Middle,6,8,0,8.7
Evergreen Elementary,Wrangell,AK,99929,Wrangell City and Borough,False,Elementary,PK,5,4,17.7
Barry Craig Stewart Kasaan School,Kasaan,AK,99950,Prince of Wales-Hyder Census Area,False,Alternative,PK,12,n/a,6.1
Moody Elementary School,Moody,AL,35004,St. Clair County,False,Elementary,PK,3,n/a,18.5
Adamsville Elementary School,Adamsville,AL,35005,Jefferson County,False,Elementary,PK,5,1,15.9
Alabaster Weekday Early Education Program,Alabaster,AL,35007,Shelby County,True,Private,PK,K,n/a,30.7
Alexander City Middle School,Alexander City,AL,35010,Tallapoosa County,False,Middle,7,8,2,16.6
Faith Christian Academy,Alexander City,AL,35011,Tallapoosa County,True,Private,PK,12,n/a,n/a
Sycamore School,Alpine,AL,35014,Talladega County,False,Elementary,PK,4,3,17.7
Arab Elementary School,Arab,AL,35016,Marshall County,False,Elementary,3,5,5,20.0
Parkside Elementary School,Baileyton,AL,35019,Cullman County,False,Elementary,PK,8,3,17.2
Abrams Elementary School,Bessemer,AL,35020,Jefferson County,False,Elementary,PK,5,1,21.1
Bessemer Center For Technology,Bessemer,AL,35022,Jefferson County,False,High,9,12,n/a,Unknown
Concord Elementary School,Bessemer,AL,35023,Jefferson County,False,Elementary,PK,5,2,20.3
Blountsville Elementary School,Blountsville,AL,35031,Blount County,False,Elementary,PK,6,2,19.1
Cold Springs Elementary School,Bremen,AL,35033,Cullman County,False,Elementary,PK,8,4,17.0
Brent Elementary School,Brent,AL,35034,Bibb County,False,Elementary,PK,4,2,16.2
Calera Elementary,Calera,AL,35040,Shelby County,False,Elementary,K,2,n/a,16.8
Bibb County High School,Centreville,AL,35042,Bibb County,False,High,9,12,3,17.4
Chelsea High School,Chelsea,AL,35043,Shelby County,False,High,9,12,5,18.1
AH Watwood Elementary School,Childersburg,AL,35044,Talladega County,False,Elementary,PK,4,4,16.6
Chilton County Alternative School,Clanton,AL,35045,Chilton County,False,High,6,12,n/a,Unknown
Clay Elementary School,Clay,AL,35048,Jefferson County,False,Elementary,PK,5,2,18.5
Blount County Career Technical Center,Cleveland,AL,35049,Blount County,False,High,10,12,n/a,Unknown
Career Technical Education Center,Columbiana,AL,35051,Shelby County,False,High,9,12,n/a,0.0
Coosa Valley Elementary School,Cropwell,AL,35054,St. Clair County,False,Elementary,PK,4,4,18.0
Cullman Christian School,Cullman,AL,35055,Cullman County,True,Private,K,12,n/a,11.2
Cullman Area Resource Education,Cullman,AL,35057,Cullman County,False,High,6,12,n/a,Unknown
Cornerstone Christian Academy,Cullman,AL,35058,Cullman County,True,Private,K,12,n/a,3.5
Bagley Elementary School,Dora,AL,35062,Jefferson County,False,Elementary,PK,4,4,18.7
C J Donald Middle School,Fairfield,AL,35064,Jefferson County,False,Middle,6,8,n/a,30.1
Fultondale Elementary School,Fultondale,AL,35068,Jefferson County,False,Elementary,PK,6,1,18.0
Bragg Middle School,Gardendale,AL,35071,Jefferson County,False,Middle,6,8,4,20.1
Brookville Elementary School,Graysville,AL,35073,Jefferson County,False,Elementary,K,5,2,15.7
Hanceville Elementary School,Hanceville,AL,35077,Cullman County,False,Elementary,PK,5,3,19.6
Coosa Valley Academy,Harpersville,AL,35078,Shelby County,True,Private,PK,12,n/a,n/a
Hayden Elementary School,Hayden,AL,35079,Blount County,False,Elementary,3,4,4,18.0
Gospel Light Baptist Academy,Helena,AL,35080,Shelby County,True,Private,PK,11,n/a,3.2
Holly Pond Elementary School,Holly Pond,AL,35083,Cullman County,False,Elementary,PK,8,4,19.1
Chilton Christian Academy,Jemison,AL,35085,Chilton County,True,Private,PK,12,n/a,9.7
Mortimer Jordan High School,Kimberly,AL,35091,Jefferson County,False,High,9,12,3,17.7
Leeds Elementary School,Leeds,AL,35094,Jefferson County,False,Elementary,2,5,2,21.5
Charles R Drew Middle School,Lincoln,AL,35096,Talladega County,False,Middle,6,8,4,19.6
Locust Fork Elementary,Locust Fork,AL,35097,Blount County,False,Elementary,PK,6,4,18.9
Harmony School,Logan,AL,35098,Cullman County,False,Elementary,PK,8,3,15.7
Lake View Elementary School,Mc Calla,AL,35111,Tuscaloosa County,False,Elementary,PK,5,3,20.7
Margaret Elementary,Odenville,AL,35112,St. Clair County,False,Elementary,PK,5,3,19.1
Creek View Elementary School,Maylene,AL,35114,Shelby County,False,Elementary,PK,3,n/a,16.1
Calera Middle,Montevallo,AL,35115,Shelby County,False,Middle,6,8,2,17.7
Bryan Elementary School,Morris,AL,35116,Jefferson County,False,Elementary,K,5,4,19.1
Mount Olive Elementary School,Mount Olive,AL,35117,Jefferson County,False,Elementary,PK,5,3,18.1
Odenville Elementary School,Odenville,AL,35120,St. Clair County,False,Elementary,PK,2,n/a,20.7
Allgood Alternative School,Oneonta,AL,35121,Blount County,False,Alternative,2,12,n/a,Unknown
Chase Learning Center And Daycare Inc.,Pelham,AL,35124,Shelby County,True,Private,PK,K,n/a,4.0
Bible Methodist Christian School,Pell City,AL,35125,St. Clair County,True,Private,PK,12,n/a,7.2
ClayChalkville High School,Pinson,AL,35126,Jefferson County,False,High,9,12,1,18.3
Jefferson County International Baccalaureate School,Pleasant Grove,AL,35127,Jefferson County,False,Middle,6,8,5,15.3
Duran South,Pell City,AL,35128,St. Clair County,False,Middle,7,7,n/a,19.8
West Jefferson Elementary School,Quinton,AL,35130,Jefferson County,False,Elementary,PK,6,2,13.4
Ragland High School,Ragland,AL,35131,St. Clair County,False,Alternative,PK,12,n/a,15.9
Southeastern School,Remlap,AL,35133,Blount County,False,Alternative,PK,12,n/a,18.9
Central Elementary School,Rockford,AL,35136,Coosa County,False,Elementary,K,6,1,17.6
Shelby Elementary School,Shelby,AL,35143,Shelby County,False,Elementary,PK,5,4,16.0
Springville Elementary School,Springville,AL,35146,St. Clair County,False,Elementary,PK,5,4,18.8
Sumiton Christian School,Sumiton,AL,35148,Walker County,True,Private,PK,12,n/a,13.4
BB Comer Memorial Elementary School,Sylacauga,AL,35150,Talladega County,False,Elementary,PK,6,2,19.6
