Name,City,State,Zip,County,IsPrivate,Level,LowGrade,HighGrade,RankStars,PupilTeacherRatio
All Saints Catholic School,Manassas,VA,20110,Manassas city,True,Private,PK,8,n/a,18.3
Cougar Elementary,Manassas Park,VA,20111,Manassas Park city,False,Elementary,PK,2,n/a,15.1
Ashland Elementary,Manassas,VA,20112,Prince William County,False,Elementary,PK,5,5,16.8
Alternative Learning Center At Burke,Burke,VA,20115,Fairfax County,False,,,,n/a,n/a
Banneker Elementary,Middleburg,VA,20117,Loudoun County,False,Elementary,PK,5,2,10.9
H.M. Pearson Elementary,Catlett,VA,20119,Fauquier County,False,Elementary,PK,5,1,15.4
Cardinal Ridge Elementary,Centreville,VA,20120,Loudoun County,False,Elementary,PK,5,4,15.2
Achievement Integrity and Maturity Mountain View,Centreville,VA,20121,Fairfax County,False,,,,n/a,0.0
Centreville High,Clifton,VA,20124,Fairfax County,False,High,9,12,3,17.5
Blue Ridge Middle,Purcellville,VA,20132,Loudoun County,False,Middle,6,8,4,13.1
Village Montessori School At Bluemont,Bluemont,VA,20135,Loudoun County,True,Private,PK,9,n/a,7.3
Bristow Montessori School,Bristow,VA,20136,Prince William County,True,Private,PK,3,n/a,9.0
Round Hill Elementary,Round Hill,VA,20141,Loudoun County,False,Elementary,PK,5,4,14.2
Arris Montessori,Ashburn,VA,20147,Loudoun County,True,Private,PK,3,n/a,n/a
Brambleton Middle,Ashburn,VA,20148,Loudoun County,False,Middle,6,8,4,13.8
Beantree Learning - Chantilly,Chantilly,VA,20151,Fairfax County,True,Private,PK,K,n/a,12.0
Freedom High,South Riding,VA,20152,Loudoun County,False,High,9,12,4,13.7
Buckland Mills Elementary,Gainesville,VA,20155,Prince William County,False,Elementary,PK,5,4,18.3
Hamilton Elementary,Hamilton,VA,20158,Loudoun County,False,Elementary,PK,5,4,8.8
Dominion High,Sterling,VA,20164,Loudoun County,False,Alternative,PK,12,n/a,11.9
Algonkian Elementary,Sterling,VA,20165,Loudoun County,False,Elementary,PK,5,4,12.4
Elaine E. Thompson Elementary,Sterling,VA,20166,Loudoun County,False,Elementary,PK,5,n/a,14.6
Montessori Childrens House Of Loudoun,Sterling,VA,20167,Loudoun County,True,Private,PK,K,n/a,n/a
Battlefield High,Haymarket,VA,20169,Prince William County,False,High,9,12,5,16.6
Clearview Elementary,Herndon,VA,20170,Fairfax County,False,Elementary,PK,6,1,11.8
Berthold Academy For The Gifted And Talented,Herndon,VA,20171,Fairfax County,True,Private,1,12,n/a,3.4
Montessori Country School,Herndon,VA,20172,Fairfax County,True,Private,K,K,n/a,3.3
A Kid's Place,Leesburg,VA,20175,Loudoun County,True,Private,PK,K,n/a,1.2
